,Estado,Dia,Fiesta
0,Alabama,1 Jan,New Year's Day
1,Alabama,21 Jan,Martin Luther King Jr. Birthday
2,Alabama,21 Jan,Robert E. Lee's Birthday
3,Alabama,18 Feb,President's Day
4,Alabama,5 Mar,Mardi Gras Day
5,Alabama,22 Apr,Confederate Memorial Day
6,Alabama,27 May,Memorial Day
7,Alabama,3 Jun,Jefferson Davis Birthday
8,Alabama,4 Jul,Independence Day
9,Alabama,2 Sep,Labor Day
10,Alabama,14 Oct,Columbus Day
11,Alabama,11 Nov,Veterans Day
12,Alabama,28 Nov,Thanksgiving Day
13,Alabama,25 Dec,Christmas Day
14,Nebraska,1 Jan,New Year's Day
15,Nebraska,21 Jan,Martin Luther King Jr. Birthday
16,Nebraska,18 Feb,President's Day
17,Nebraska,26 Apr,Arbor Day
18,Nebraska,27 May,Memorial Day
19,Nebraska,4 Jul,Independence Day
20,Nebraska,2 Sep,Labor Day
21,Nebraska,14 Oct,Columbus Day
22,Nebraska,11 Nov,Veterans Day
23,Nebraska,28 Nov,Thanksgiving Day
24,Nebraska,29 Nov,Thanksgiving Friday
25,Nebraska,25 Dec,Christmas Day
26,Alaska,1 Jan,New Year's Day
27,Alaska,21 Jan,Martin Luther King Jr. Birthday
28,Alaska,18 Feb,President's Day
29,Alaska,25 Mar,Seward's Day
30,Alaska,27 May,Memorial Day
31,Alaska,4 Jul,Independence Day
32,Alaska,2 Sep,Labor Day
33,Alaska,18 Oct,Alaska Day
34,Alaska,11 Nov,Veterans Day
35,Alaska,28 Nov,Thanksgiving Day
36,Alaska,25 Dec,Christmas Day
37,Nevada,1 Jan,New Year's Day
38,Nevada,21 Jan,Martin Luther King Jr. Birthday
39,Nevada,18 Feb,President's Day
40,Nevada,27 May,Memorial Day
41,Nevada,4 Jul,Independence Day
42,Nevada,2 Sep,Labor Day
43,Nevada,25 Oct,Nevada Day
44,Nevada,11 Nov,Veterans Day
45,Nevada,28 Nov,Thanksgiving Day
46,Nevada,29 Nov,Family Day
47,Nevada,25 Dec,Christmas Day
48,Arizona,1 Jan,New Year's Day
49,Arizona,21 Jan,Martin Luther King Jr. Birthday
